Date,Open,High,Low,Close,Volume
12/30/2015,"2,281","2,313","2,275","2,313","104,390,796"
12/29/2015,"2,269","2,281","2,269","2,281","43,547,600"
12/28/2015,"2,175","2,269","2,175","2,250","66,709,204"
12/23/2015,"2,213","2,225","2,188","2,219","51,713,200"
12/22/2015,"2,231","2,231","2,200","2,219","44,916,000"
12/21/2015,"2,181","2,219","2,181","2,219","16,910,000"
12/18/2015,"2,244","2,244","2,181","2,181","93,092,000"
12/17/2015,"2,288","2,288","2,244","2,275","90,298,000"
12/16/2015,"2,213","2,238","2,188","2,238","87,191,204"
12/15/2015,"2,169","2,188","2,144","2,188","55,228,000"
12/14/2015,"2,125","2,156","2,113","2,156","78,568,796"
12/11/2015,"2,231","2,238","2,188","2,188","45,985,200"
12/10/2015,"2,200","2,219","2,188","2,219","79,034,796"
12/08/2015,"2,250","2,269","2,225","2,250","75,222,000"
12/07/2015,"2,213","2,288","2,206","2,275","65,284,000"
12/04/2015,"2,200","2,206","2,175","2,188","66,563,204"
12/03/2015,"2,213","2,231","2,200","2,200","46,170,000"
12/02/2015,"2,231","2,244","2,213","2,225","45,067,200"
12/01/2015,"2,188","2,244","2,188","2,225","81,230,796"
11/30/2015,"2,225","2,250","2,125","2,125","291,126,032"
11/27/2015,"2,306","2,319","2,244","2,244","50,550,800"
11/26/2015,"2,244","2,319","2,225","2,319","114,857,204"
11/25/2015,"2,181","2,238","2,175","2,231","65,648,400"
11/24/2015,"2,150","2,188","2,150","2,175","26,436,400"
11/23/2015,"2,181","2,213","2,181","2,181","45,954,000"
11/20/2015,"2,163","2,188","2,144","2,169","54,798,400"
11/19/2015,"2,175","2,194","2,169","2,194","61,782,000"
11/18/2015,"2,175","2,175","2,138","2,156","49,671,200"
11/17/2015,"2,131","2,169","2,131","2,156","75,114,400"
11/16/2015,"2,113","2,131","2,088","2,125","54,983,200"
11/13/2015,"2,075","2,169","2,069","2,169","86,066,400"
11/12/2015,"2,044","2,113","2,044","2,094","101,420,796"
11/11/2015,"2,081","2,088","2,038","2,044","122,912,000"
11/10/2015,"2,131","2,175","2,100","2,100","122,132,000"
11/09/2015,"2,200","2,225","2,175","2,175","66,001,204"
11/06/2015,"2,225","2,269","2,225","2,244","39,835,600"
11/05/2015,"2,281","2,288","2,225","2,244","76,689,204"
11/04/2015,"2,219","2,288","2,219","2,275","104,358,000"
11/03/2015,"2,175","2,269","2,175","2,213","133,874,000"
11/02/2015,"2,169","2,175","2,100","2,138","84,406,796"
10/30/2015,"2,206","2,231","2,175","2,175","183,069,204"
10/29/2015,"2,350","2,356","2,238","2,250","113,545,600"
10/28/2015,"2,381","2,406","2,363","2,363","72,526,000"
10/27/2015,"2,375","2,413","2,356","2,413","80,484,400"
10/26/2015,"2,375","2,406","2,369","2,394","145,286,408"
10/23/2015,"2,338","2,363","2,300","2,350","142,408,000"
10/22/2015,"2,319","2,331","2,294","2,294","66,396,000"
10/21/2015,"2,281","2,350","2,281","2,306","65,543,204"
10/20/2015,"2,288","2,313","2,256","2,313","65,063,600"
