Date,Open,High,Low,Close,Volume
12/29/2017,"4,025","4,038","3,900","4,000","78,314,602"
12/28/2017,"3,988","4,050","3,925","3,975","251,049,594"
12/27/2017,"3,838","4,025","3,838","4,000","53,968,200"
12/22/2017,"3,813","3,850","3,775","3,838","158,513,406"
12/21/2017,"3,775","3,850","3,750","3,813","88,489,000"
12/20/2017,"3,763","3,763","3,688","3,725","79,075,796"
12/19/2017,"3,688","3,763","3,675","3,738","70,926,398"
12/18/2017,"3,663","3,750","3,650","3,750","33,166,000"
12/15/2017,"3,700","3,738","3,650","3,713","94,872,204"
12/14/2017,"3,750","3,775","3,713","3,738","122,524,398"
12/13/2017,"3,700","3,750","3,700","3,738","54,077,800"
12/12/2017,"3,775","3,775","3,700","3,725","51,088,800"
12/11/2017,"3,763","3,775","3,725","3,738","17,030,400"
12/08/2017,"3,750","3,763","3,688","3,738","33,166,398"
12/07/2017,"3,725","3,738","3,675","3,675","50,580,000"
12/06/2017,"3,750","3,763","3,725","3,738","47,704,000"
12/05/2017,"3,738","3,763","3,713","3,738","65,673,398"
12/04/2017,"3,750","3,750","3,700","3,725","73,258,000"
11/30/2017,"3,700","3,800","3,688","3,700","167,540,000"
11/29/2017,"3,738","3,738","3,700","3,700","139,273,796"
11/28/2017,"3,700","3,725","3,700","3,713","68,486,602"
11/27/2017,"3,725","3,738","3,688","3,713","122,810,204"
11/24/2017,"3,750","3,750","3,688","3,725","36,058,398"
11/23/2017,"3,763","3,763","3,688","3,725","55,739,602"
11/22/2017,"3,750","3,800","3,688","3,688","72,659,602"
11/21/2017,"3,725","3,725","3,663","3,700","191,716,796"
11/20/2017,"3,688","3,738","3,650","3,713","53,410,000"
11/17/2017,"3,588","3,700","3,563","3,663","96,578,204"
11/16/2017,"3,463","3,563","3,463","3,550","79,021,398"
11/15/2017,"3,525","3,525","3,463","3,488","81,461,204"
11/14/2017,"3,500","3,550","3,475","3,475","59,334,000"
11/13/2017,"3,550","3,550","3,475","3,525","33,709,000"
11/10/2017,"3,550","3,563","3,513","3,525","84,111,204"
11/09/2017,"3,588","3,600","3,538","3,538","170,971,812"
11/08/2017,"3,575","3,600","3,550","3,588","80,597,602"
11/07/2017,"3,613","3,638","3,538","3,563","56,480,398"
11/06/2017,"3,575","3,675","3,575","3,613","59,551,800"
11/03/2017,"3,675","3,688","3,563","3,625","78,730,204"
11/02/2017,"3,575","3,713","3,563","3,638","68,625,796"
11/01/2017,"3,550","3,550","3,513","3,550","43,310,398"
10/31/2017,"3,563","3,575","3,500","3,525","78,930,398"
10/30/2017,"3,550","3,563","3,488","3,538","107,043,000"
10/27/2017,"3,500","3,563","3,475","3,475","63,364,398"
10/26/2017,"3,525","3,550","3,488","3,513","91,155,204"
10/25/2017,"3,475","3,525","3,475","3,500","166,683,390"
10/24/2017,"3,450","3,500","3,413","3,413","44,982,200"
10/23/2017,"3,538","3,550","3,450","3,475","65,908,602"
10/20/2017,"3,488","3,563","3,475","3,550","55,557,200"
10/19/2017,"3,538","3,538","3,463","3,488","78,878,398"
10/18/2017,"3,550","3,550","3,513","3,538","152,454,406"
10/17/2017,"3,538","3,538","3,475","3,513","112,955,000"
10/16/2017,"3,438","3,563","3,438","3,463","177,292,000"
10/13/2017,"3,425","3,500","3,388","3,388","98,661,000"
10/12/2017,"3,375","3,438","3,338","3,413","167,578,406"
10/11/2017,"3,363","3,388","3,338","3,363","117,588,398"
10/10/2017,"3,325","3,363","3,300","3,350","53,161,200"
10/09/2017,"3,325","3,325","3,288","3,300","21,028,600"
10/06/2017,"3,300","3,313","3,288","3,300","22,471,200"
10/05/2017,"3,338","3,350","3,288","3,300","77,918,000"
10/04/2017,"3,363","3,363","3,325","3,325","43,641,800"
10/03/2017,"3,350","3,375","3,325","3,350","59,653,398"
10/02/2017,"3,363","3,375","3,313","3,350","41,590,800"
09/29/2017,"3,288","3,388","3,288","3,363","175,719,204"
09/28/2017,"3,300","3,313","3,288","3,288","56,049,602"
09/27/2017,"3,288","3,300","3,263","3,300","121,814,204"
09/26/2017,"3,300","3,300","3,275","3,275","94,085,398"
09/25/2017,"3,300","3,325","3,275","3,288","55,045,800"
09/22/2017,"3,300","3,325","3,275","3,300","88,331,602"
09/20/2017,"3,288","3,313","3,275","3,300","152,308,188"
09/19/2017,"3,300","3,313","3,263","3,300","65,627,602"
09/18/2017,"3,275","3,313","3,250","3,288","31,203,000"
09/15/2017,"3,275","3,338","3,263","3,313","96,577,000"
09/14/2017,"3,313","3,325","3,275","3,275","32,387,000"
09/13/2017,"3,350","3,350","3,275","3,288","22,269,800"
09/12/2017,"3,325","3,331","3,294","3,300","51,482,000"
09/11/2017,"3,319","3,325","3,300","3,300","51,046,400"
09/08/2017,"3,269","3,331","3,250","3,319","92,788,000"
09/07/2017,"3,263","3,263","3,225","3,256","45,544,400"
09/06/2017,"3,225","3,256","3,200","3,238","126,368,400"
09/05/2017,"3,250","3,269","3,219","3,269","53,423,200"
09/04/2017,"3,263","3,281","3,244","3,263","69,268,400"
08/31/2017,"3,269","3,294","3,269","3,275","69,100,796"
08/30/2017,"3,275","3,294","3,269","3,275","48,228,400"
08/29/2017,"3,294","3,306","3,275","3,275","83,386,400"
08/28/2017,"3,313","3,319","3,300","3,306","15,407,600"
08/25/2017,"3,338","3,338","3,294","3,294","45,026,400"
08/24/2017,"3,325","3,325","3,300","3,300","84,711,600"
08/23/2017,"3,338","3,344","3,300","3,319","46,171,200"
08/22/2017,"3,325","3,325","3,313","3,313","37,080,400"
