Date,Open,High,Low,Close,Volume
12/30/2024,"5,675","5,750","5,650","5,700","96,782,094"
12/27/2024,"5,750","5,850","5,750","5,800","46,126,801"
12/24/2024,"5,825","5,875","5,750","5,750","41,240,898"
12/23/2024,"5,800","5,875","5,725","5,825","82,910,094"
12/20/2024,"5,675","5,750","5,625","5,675","148,568,609"
12/19/2024,"5,625","5,725","5,600","5,675","277,793,000"
12/18/2024,"5,925","6,000","5,775","5,825","153,164,609"
12/17/2024,"6,050","6,075","5,925","5,950","72,109,297"
12/16/2024,"5,900","6,100","5,900","6,075","105,375,906"
12/13/2024,"6,025","6,100","5,975","6,025","135,581,406"
12/12/2024,"6,200","6,225","6,100","6,125","96,707,508"
12/11/2024,"6,300","6,400","6,300","6,300","62,509,602"
12/10/2024,"6,275","6,325","6,225","6,300","92,245,000"
12/09/2024,"6,175","6,375","6,175","6,375","74,220,305"
12/06/2024,"6,200","6,275","6,125","6,225","75,989,695"
12/05/2024,"6,350","6,375","6,150","6,150","69,528,703"
12/04/2024,"6,275","6,450","6,225","6,375","75,260,000"
12/03/2024,"6,100","6,275","6,100","6,275","99,509,797"
12/02/2024,"6,175","6,250","5,975","6,000","114,555,297"
11/29/2024,"6,325","6,375","6,125","6,150","157,628,703"
11/28/2024,"6,350","6,525","6,350","6,450","81,883,203"
11/26/2024,"6,600","6,600","6,325","6,400","107,194,305"
11/25/2024,"6,325","6,600","6,325","6,575","183,449,109"
11/22/2024,"6,125","6,300","6,100","6,250","80,236,398"
11/21/2024,"6,225","6,225","6,125","6,150","76,579,297"
11/20/2024,"6,325","6,350","6,200","6,225","68,707,203"
11/19/2024,"6,375","6,375","6,225","6,250","95,499,695"
11/18/2024,"6,350","6,425","6,225","6,325","80,652,203"
11/15/2024,"6,300","6,400","6,300","6,350","41,079,699"
11/14/2024,"6,375","6,475","6,350","6,375","69,750,602"
11/13/2024,"6,500","6,550","6,400","6,425","102,748,305"
11/12/2024,"6,375","6,450","6,325","6,375","117,281,695"
11/11/2024,"6,300","6,450","6,150","6,350","125,606,000"
11/08/2024,"6,425","6,525","6,275","6,325","192,676,984"
11/07/2024,"6,500","6,550","6,425","6,425","154,758,500"
11/06/2024,"6,925","6,925","6,550","6,550","147,272,797"
11/05/2024,"6,725","6,950","6,675","6,925","88,661,203"
11/04/2024,"6,600","6,800","6,525","6,750","80,208,797"
11/01/2024,"6,725","6,725","6,550","6,650","101,423,102"
10/31/2024,"6,750","6,825","6,700","6,700","126,730,703"
10/30/2024,"6,575","6,775","6,575","6,750","122,132,703"
10/29/2024,"6,800","6,850","6,725","6,825","91,268,305"
10/28/2024,"7,075","7,075","6,800","6,825","114,500,797"
10/25/2024,"6,975","7,050","6,975","7,050","34,637,500"
10/24/2024,"7,000","7,150","6,975","6,975","65,877,102"
10/23/2024,"7,075","7,125","7,025","7,075","38,222,898"
10/22/2024,"7,150","7,175","7,075","7,075","43,582,699"
10/21/2024,"7,250","7,250","7,125","7,200","43,056,000"
10/18/2024,"7,275","7,300","7,175","7,175","57,379,199"
10/17/2024,"7,050","7,250","7,000","7,225","90,219,906"
10/16/2024,"7,050","7,075","6,925","7,000","133,022,500"
10/15/2024,"7,000","7,100","6,925","7,050","90,358,602"
10/14/2024,"6,925","6,975","6,900","6,925","55,885,301"
10/11/2024,"7,025","7,025","6,925","6,950","45,331,500"
10/10/2024,"6,925","7,050","6,900","6,950","44,291,898"
10/09/2024,"7,075","7,175","6,950","6,950","76,515,695"
10/08/2024,"6,825","7,175","6,775","7,075","132,141,500"
10/07/2024,"6,925","6,925","6,800","6,875","103,943,102"
10/04/2024,"7,025","7,050","6,900","6,950","79,485,297"
10/03/2024,"7,000","7,075","6,900","7,050","86,264,898"
10/02/2024,"7,025","7,100","6,925","6,975","91,076,398"
10/01/2024,"7,000","7,075","6,950","7,050","82,690,094"
09/30/2024,"7,000","7,025","6,875","6,925","166,203,500"
09/27/2024,"7,025","7,125","7,000","7,050","161,405,203"
09/26/2024,"7,175","7,200","7,100","7,175","173,044,000"
09/25/2024,"7,350","7,350","7,050","7,200","192,197,109"
09/24/2024,"7,400","7,475","7,375","7,425","81,817,102"
09/23/2024,"7,325","7,450","7,300","7,450","79,675,602"
09/20/2024,"7,400","7,425","7,300","7,300","97,901,695"
09/19/2024,"7,450","7,550","7,400","7,400","124,377,797"
09/18/2024,"7,375","7,450","7,350","7,400","47,279,199"
09/17/2024,"7,325","7,450","7,300","7,425","96,428,000"
09/13/2024,"7,300","7,300","7,225","7,275","45,854,000"
09/12/2024,"7,375","7,425","7,300","7,300","68,254,305"
09/11/2024,"7,300","7,400","7,275","7,375","91,822,305"
09/10/2024,"7,250","7,275","7,225","7,250","73,515,695"
09/09/2024,"7,250","7,250","7,200","7,250","71,430,305"
09/06/2024,"7,175","7,275","7,150","7,250","63,619,301"
09/05/2024,"7,125","7,225","7,125","7,175","59,432,000"
09/04/2024,"7,000","7,175","7,000","7,175","78,789,797"
09/03/2024,"7,200","7,250","7,050","7,075","75,100,797"
09/02/2024,"7,200","7,275","7,125","7,200","82,176,000"
08/30/2024,"7,100","7,175","7,075","7,125","153,760,500"
08/29/2024,"7,300","7,300","7,100","7,100","94,475,906"
08/28/2024,"7,025","7,225","7,000","7,225","114,606,203"
08/27/2024,"7,025","7,050","6,925","7,025","91,686,703"
08/26/2024,"7,050","7,100","7,000","7,050","78,515,398"
08/23/2024,"7,000","7,075","6,975","7,050","111,752,094"
08/22/2024,"7,150","7,175","6,925","7,050","157,323,016"
08/21/2024,"7,300","7,300","7,225","7,250","88,487,797"
08/20/2024,"7,200","7,350","7,150","7,200","102,615,906"
08/19/2024,"7,075","7,150","7,025","7,150","50,246,102"
08/16/2024,"7,075","7,125","7,025","7,075","64,266,398"
08/15/2024,"7,075","7,075","6,925","7,025","75,955,508"
08/14/2024,"7,075","7,100","7,025","7,075","97,695,102"
08/13/2024,"6,850","7,000","6,850","7,000","68,666,000"
08/12/2024,"6,875","6,900","6,775","6,900","50,756,000"
08/09/2024,"6,825","6,900","6,800","6,850","79,710,703"
08/08/2024,"6,800","6,850","6,725","6,800","81,408,492"
08/07/2024,"6,725","6,775","6,650","6,775","84,634,203"
08/06/2024,"6,650","6,700","6,525","6,625","95,785,000"
08/05/2024,"6,700","6,725","6,500","6,575","184,384,000"
08/02/2024,"6,700","6,875","6,675","6,800","167,892,406"
08/01/2024,"6,550","6,750","6,500","6,750","163,086,203"
07/31/2024,"6,400","6,475","6,375","6,400","99,004,094"
07/30/2024,"6,475","6,550","6,375","6,475","87,535,297"
07/29/2024,"6,550","6,550","6,450","6,475","54,435,301"
07/26/2024,"6,575","6,625","6,500","6,550","76,519,508"
07/25/2024,"6,450","6,575","6,400","6,575","66,655,398"
07/24/2024,"6,500","6,575","6,475","6,475","63,940,898"
07/23/2024,"6,750","6,750","6,550","6,625","77,861,695"
07/22/2024,"6,575","6,700","6,525","6,700","110,467,000"
07/19/2024,"6,500","6,525","6,450","6,525","63,165,500"
07/18/2024,"6,550","6,600","6,500","6,550","132,532,000"
07/17/2024,"6,450","6,525","6,375","6,450","109,729,797"
07/16/2024,"6,400","6,400","6,300","6,350","64,687,898"
