Date,Open,High,Low,Close,Volume
09/09/2025,"4,450","4,480","4,310","4,310","509,366,594"
09/08/2025,"4,750","4,750","4,460","4,490","200,234,500"
09/04/2025,"4,630","4,680","4,620","4,680","88,735,297"
09/03/2025,"4,620","4,660","4,570","4,620","131,617,906"
09/02/2025,"4,610","4,670","4,560","4,570","150,045,594"
09/01/2025,"4,550","4,670","4,460","4,600","320,335,281"
08/29/2025,"4,720","4,750","4,660","4,730","176,485,109"
08/28/2025,"4,790","4,850","4,770","4,770","111,707,398"
08/27/2025,"4,840","4,880","4,800","4,800","113,576,305"
08/26/2025,"4,950","4,950","4,860","4,900","308,891,719"
08/25/2025,"4,950","4,980","4,920","4,950","149,580,797"
08/22/2025,"4,920","4,920","4,870","4,890","73,104,492"
08/21/2025,"4,950","4,950","4,860","4,900","132,019,203"
08/20/2025,"4,790","4,950","4,780","4,950","144,622,891"
08/19/2025,"4,860","4,870","4,780","4,800","116,454,000"
08/15/2025,"4,890","4,930","4,850","4,850","126,685,398"
08/14/2025,"4,910","4,930","4,840","4,850","109,457,102"
08/13/2025,"4,930","4,970","4,860","4,870","180,844,891"
08/12/2025,"4,770","4,920","4,750","4,910","301,599,000"
08/11/2025,"4,710","4,780","4,700","4,720","105,204,203"
08/08/2025,"4,680","4,700","4,660","4,670","71,516,703"
08/07/2025,"4,740","4,740","4,680","4,680","61,453,102"
08/06/2025,"4,750","4,750","4,690","4,700","79,277,906"
08/05/2025,"4,690","4,780","4,660","4,750","277,668,281"
08/04/2025,"4,530","4,630","4,510","4,620","174,404,797"
08/01/2025,"4,570","4,610","4,510","4,530","157,949,906"
07/31/2025,"4,610","4,640","4,510","4,510","155,903,594"
07/30/2025,"4,710","4,720","4,620","4,620","141,263,391"
07/29/2025,"4,700","4,720","4,690","4,710","74,422,703"
07/28/2025,"4,730","4,750","4,690","4,700","112,048,898"
07/25/2025,"4,800","4,800","4,690","4,690","88,471,695"
07/24/2025,"4,690","4,840","4,680","4,800","273,623,094"
07/23/2025,"4,660","4,690","4,660","4,680","115,298,398"
07/22/2025,"4,680","4,710","4,650","4,660","132,984,406"
07/21/2025,"4,770","4,770","4,680","4,680","103,387,398"
07/18/2025,"4,760","4,810","4,720","4,740","161,262,406"
07/17/2025,"4,700","4,720","4,680","4,720","120,304,000"
07/16/2025,"4,730","4,760","4,680","4,690","323,831,094"
07/15/2025,"4,700","4,740","4,690","4,700","206,958,203"
07/14/2025,"4,980","4,990","4,670","4,690","429,438,719"
07/11/2025,"4,850","4,990","4,830","4,970","219,980,297"
07/10/2025,"4,750","4,830","4,730","4,820","160,889,703"
07/09/2025,"4,720","4,760","4,670","4,710","110,198,492"
07/08/2025,"4,710","4,750","4,700","4,720","132,853,797"
07/07/2025,"4,740","4,750","4,680","4,740","120,538,305"
07/04/2025,"4,750","4,790","4,700","4,740","104,170,492"
07/03/2025,"4,780","4,850","4,720","4,740","103,849,000"
07/02/2025,"4,730","4,770","4,710","4,770","159,152,188"
07/01/2025,"4,900","4,910","4,710","4,750","319,907,500"
06/30/2025,"5,050","5,050","4,880","4,880","220,479,906"
06/26/2025,"4,950","5,025","4,910","5,025","94,704,492"
06/25/2025,"5,025","5,050","4,880","4,880","139,963,391"
06/24/2025,"5,050","5,125","5,025","5,025","126,563,906"
06/23/2025,"4,870","4,930","4,800","4,920","119,439,203"
06/20/2025,"4,940","4,990","4,830","4,930","301,154,312"
06/19/2025,"5,050","5,050","4,910","4,970","114,769,602"
06/18/2025,"5,075","5,100","5,025","5,075","53,353,000"
06/17/2025,"5,175","5,225","5,100","5,100","70,657,695"
06/16/2025,"5,150","5,200","5,100","5,150","61,695,602"
06/13/2025,"5,175","5,250","5,100","5,150","128,071,000"
06/12/2025,"5,225","5,225","5,125","5,175","72,423,695"
06/11/2025,"5,300","5,300","5,150","5,200","90,666,094"
06/10/2025,"5,075","5,250","5,075","5,250","158,264,984"
06/05/2025,"5,050","5,075","5,000","5,075","69,179,695"
06/04/2025,"5,125","5,125","4,980","5,025","139,577,797"
06/03/2025,"5,100","5,125","4,950","5,050","169,321,797"
06/02/2025,"5,200","5,250","5,025","5,075","373,474,500"
05/28/2025,"5,400","5,425","5,300","5,300","190,669,109"
05/27/2025,"5,500","5,500","5,400","5,400","86,083,797"
05/26/2025,"5,425","5,475","5,300","5,475","102,960,797"
05/23/2025,"5,500","5,500","5,375","5,425","89,691,602"
05/22/2025,"5,450","5,500","5,400","5,450","137,585,594"
05/21/2025,"5,400","5,550","5,375","5,450","167,239,391"
05/20/2025,"5,500","5,550","5,350","5,400","145,525,703"
05/19/2025,"5,450","5,575","5,400","5,525","191,440,609"
05/16/2025,"5,425","5,475","5,200","5,475","229,382,094"
05/15/2025,"5,075","5,400","5,050","5,325","300,147,281"
05/14/2025,"4,890","5,050","4,880","5,050","342,468,188"
05/09/2025,"4,790","4,830","4,750","4,770","164,014,203"
05/08/2025,"4,960","5,025","4,790","4,790","205,199,703"
05/07/2025,"5,050","5,050","4,950","4,950","100,674,602"
05/06/2025,"5,025","5,050","4,980","4,980","120,165,508"
05/05/2025,"4,990","5,100","4,960","4,980","154,073,109"
05/02/2025,"4,980","4,980","4,910","4,960","146,800,797"
04/30/2025,"4,900","4,920","4,810","4,890","278,360,594"
04/29/2025,"4,930","4,950","4,880","4,940","108,857,602"
04/28/2025,"4,950","4,980","4,890","4,920","90,697,906"
04/25/2025,"4,960","4,960","4,900","4,900","134,208,406"
04/24/2025,"4,950","5,025","4,860","4,890","282,969,969"
04/23/2025,"4,780","4,900","4,740","4,900","273,395,594"
04/22/2025,"4,610","4,720","4,590","4,720","126,426,203"
04/21/2025,"4,600","4,640","4,560","4,610","83,034,602"
04/17/2025,"4,630","4,660","4,570","4,600","165,381,406"
04/16/2025,"4,740","4,750","4,590","4,630","201,708,000"
04/15/2025,"4,800","4,820","4,710","4,710","231,012,703"
04/14/2025,"4,650","4,750","4,650","4,750","423,716,000"
04/11/2025,"5,000","5,175","4,950","5,100","384,964,594"
04/10/2025,"5,200","5,225","4,970","5,025","559,966,562"
04/09/2025,"4,630","4,790","4,630","4,710","316,821,094"
04/08/2025,"4,500","4,830","4,500","4,670","738,455,062"
03/27/2025,"5,150","5,250","5,050","5,200","301,025,312"
03/26/2025,"4,980","5,175","4,930","5,150","582,172,750"
03/25/2025,"4,500","4,810","4,500","4,740","313,034,125"
03/24/2025,"4,350","4,530","4,250","4,460","319,017,406"
03/21/2025,"4,600","4,610","4,380","4,410","374,396,406"
03/20/2025,"4,760","4,770","4,610","4,620","138,209,703"
03/19/2025,"4,530","4,700","4,440","4,680","273,084,906"
03/18/2025,"4,680","4,690","4,300","4,530","387,565,125"
03/17/2025,"4,740","4,770","4,660","4,680","135,692,797"
03/14/2025,"4,640","4,800","4,640","4,740","154,331,391"
03/13/2025,"4,940","4,940","4,710","4,740","176,286,000"
03/12/2025,"4,750","4,880","4,750","4,880","129,973,906"
03/11/2025,"4,650","4,780","4,640","4,740","150,738,094"
03/10/2025,"4,730","4,760","4,660","4,710","231,152,188"
03/07/2025,"4,870","4,870","4,810","4,840","117,916,602"
03/06/2025,"4,910","4,980","4,870","4,870","194,909,203"
03/05/2025,"4,860","5,050","4,860","4,860","252,222,797"
03/04/2025,"4,900","4,920","4,750","4,840","144,346,500"
03/03/2025,"4,750","4,980","4,700","4,900","257,118,297"
02/28/2025,"4,620","4,690","4,550","4,600","464,696,719"
02/27/2025,"4,930","4,950","4,660","4,660","334,919,812"
02/26/2025,"4,860","4,980","4,850","4,920","161,836,891"
02/25/2025,"5,000","5,025","4,860","4,870","224,607,812"
02/24/2025,"5,050","5,075","4,980","5,025","127,578,492"
02/21/2025,"5,000","5,100","5,000","5,075","152,528,609"
02/20/2025,"5,125","5,225","5,100","5,150","98,363,508"
02/19/2025,"5,375","5,400","5,125","5,175","204,335,500"
02/18/2025,"5,450","5,550","5,375","5,450","157,430,203"
02/17/2025,"5,200","5,475","5,175","5,425","223,837,297"
02/14/2025,"5,100","5,200","4,970","5,125","239,709,297"
02/13/2025,"4,940","5,075","4,900","5,025","215,271,391"
02/12/2025,"4,920","4,950","4,830","4,940","225,073,297"
02/11/2025,"4,750","4,950","4,750","4,880","316,743,188"
02/10/2025,"5,150","5,150","4,990","5,000","169,384,297"
02/07/2025,"5,000","5,150","4,950","5,150","407,896,062"
02/06/2025,"5,425","5,425","5,000","5,100","642,118,750"
