Date,Open,High,Low,Close,Volume
12/30/2020,"3,263","3,263","3,163","3,163","88,941,398"
12/29/2020,"3,288","3,300","3,200","3,213","57,422,602"
12/28/2020,"3,250","3,288","3,150","3,263","75,527,000"
12/23/2020,"3,250","3,300","3,100","3,175","110,032,398"
12/22/2020,"3,288","3,313","3,175","3,200","165,929,796"
12/21/2020,"3,388","3,400","3,338","3,350","83,174,602"
12/18/2020,"3,400","3,413","3,350","3,350","142,797,796"
12/17/2020,"3,388","3,438","3,388","3,438","109,966,000"
12/16/2020,"3,400","3,413","3,363","3,388","97,361,796"
12/15/2020,"3,350","3,363","3,300","3,350","135,663,812"
12/14/2020,"3,363","3,400","3,338","3,363","94,645,204"
12/11/2020,"3,425","3,438","3,350","3,388","94,541,796"
12/10/2020,"3,388","3,425","3,363","3,400","187,847,016"
12/08/2020,"3,338","3,363","3,300","3,338","70,350,398"
12/07/2020,"3,338","3,375","3,313","3,350","133,585,796"
12/04/2020,"3,250","3,300","3,213","3,300","74,976,000"
12/03/2020,"3,325","3,338","3,263","3,288","155,342,406"
12/02/2020,"3,263","3,325","3,238","3,325","114,721,602"
12/01/2020,"3,163","3,313","3,163","3,263","176,568,000"
11/30/2020,"3,275","3,313","3,113","3,163","307,900,812"
11/27/2020,"3,388","3,400","3,313","3,325","124,346,796"
11/26/2020,"3,300","3,363","3,275","3,363","132,275,406"
11/25/2020,"3,250","3,325","3,250","3,263","197,704,000"
11/24/2020,"3,225","3,250","3,188","3,213","140,929,204"
11/23/2020,"3,150","3,213","3,138","3,200","106,905,398"
11/20/2020,"3,138","3,175","3,125","3,150","100,573,602"
11/19/2020,"3,125","3,175","3,100","3,163","94,808,204"
11/18/2020,"3,075","3,175","3,075","3,175","124,936,000"
11/17/2020,"3,138","3,188","3,100","3,125","106,261,602"
11/16/2020,"3,150","3,225","3,075","3,100","133,917,594"
11/13/2020,"3,050","3,125","3,038","3,125","122,043,796"
11/12/2020,"3,188","3,200","3,050","3,088","136,150,594"
11/11/2020,"3,213","3,250","3,175","3,188","166,490,204"
11/10/2020,"3,200","3,263","3,150","3,188","249,588,796"
11/09/2020,"3,125","3,150","3,025","3,075","122,653,204"
11/06/2020,"2,988","3,050","2,963","3,025","164,219,016"
11/05/2020,"2,938","3,000","2,913","2,988","175,877,406"
11/04/2020,"2,975","3,013","2,850","2,850","152,817,406"
11/03/2020,"2,988","3,000","2,950","3,000","75,963,398"
11/02/2020,"2,838","3,013","2,800","2,988","216,862,796"
10/27/2020,"2,875","2,925","2,850","2,888","112,695,796"
10/26/2020,"2,813","2,925","2,813","2,888","188,574,406"
10/23/2020,"2,763","2,788","2,738","2,775","65,900,204"
10/22/2020,"2,750","2,775","2,700","2,725","138,701,406"
10/21/2020,"2,838","2,863","2,738","2,763","113,901,796"
10/20/2020,"2,863","2,875","2,800","2,825","77,213,204"
10/19/2020,"2,800","2,863","2,788","2,850","58,936,200"
10/16/2020,"2,800","2,825","2,725","2,788","67,817,796"
10/15/2020,"2,850","2,875","2,800","2,800","77,289,204"
10/14/2020,"2,863","2,888","2,813","2,888","109,787,204"
10/13/2020,"2,813","2,838","2,763","2,838","69,863,398"
10/12/2020,"2,788","2,825","2,775","2,813","77,947,000"
10/09/2020,"2,725","2,788","2,725","2,775","90,248,602"
10/08/2020,"2,775","2,788","2,713","2,725","88,763,398"
10/07/2020,"2,700","2,775","2,688","2,775","88,748,602"
10/06/2020,"2,750","2,775","2,725","2,750","89,104,398"
10/05/2020,"2,625","2,688","2,588","2,675","74,300,796"
10/02/2020,"2,588","2,613","2,500","2,600","99,143,398"
10/01/2020,"2,500","2,600","2,490","2,600","78,954,204"
09/30/2020,"2,550","2,575","2,430","2,480","151,529,796"
09/29/2020,"2,600","2,625","2,513","2,538","111,325,602"
09/28/2020,"2,700","2,713","2,575","2,575","99,702,602"
09/25/2020,"2,600","2,675","2,538","2,675","140,455,594"
09/24/2020,"2,525","2,575","2,500","2,538","121,965,000"
09/23/2020,"2,650","2,688","2,563","2,600","84,710,796"
09/22/2020,"2,650","2,713","2,638","2,650","113,596,602"
09/21/2020,"2,788","2,813","2,700","2,738","52,930,000"
09/18/2020,"2,788","2,838","2,750","2,788","91,596,602"
09/17/2020,"2,800","2,875","2,763","2,788","76,432,000"
09/16/2020,"2,875","2,875","2,813","2,825","57,936,000"
09/15/2020,"2,875","2,913","2,800","2,838","128,927,398"
09/14/2020,"2,738","2,888","2,738","2,875","143,569,796"
09/11/2020,"2,525","2,763","2,525","2,738","271,155,812"
09/10/2020,"2,763","2,763","2,688","2,688","172,775,204"
09/09/2020,"2,950","2,950","2,875","2,888","98,282,204"
