Date,Open,High,Low,Close,Volume
12/30/2019,"3,863","3,900","3,825","3,838","78,005,796"
12/27/2019,"3,913","3,913","3,863","3,875","58,182,800"
12/26/2019,"3,888","3,913","3,875","3,900","140,936,406"
12/23/2019,"3,900","3,900","3,838","3,863","131,246,796"
12/20/2019,"3,775","3,850","3,775","3,850","150,472,188"
12/19/2019,"3,763","3,800","3,738","3,800","112,903,204"
12/18/2019,"3,675","3,775","3,663","3,763","123,281,602"
12/17/2019,"3,675","3,700","3,663","3,675","100,790,000"
12/16/2019,"3,675","3,713","3,675","3,675","96,037,398"
12/13/2019,"3,700","3,725","3,675","3,688","127,472,398"
12/12/2019,"3,663","3,725","3,638","3,650","79,738,602"
12/11/2019,"3,675","3,700","3,663","3,675","68,454,204"
12/10/2019,"3,600","3,700","3,600","3,688","132,230,000"
12/09/2019,"3,600","3,650","3,600","3,625","72,098,602"
12/06/2019,"3,600","3,613","3,563","3,588","53,720,602"
12/05/2019,"3,550","3,600","3,538","3,588","74,217,796"
12/04/2019,"3,538","3,575","3,525","3,538","65,802,204"
12/03/2019,"3,525","3,588","3,513","3,588","79,039,000"
12/02/2019,"3,488","3,575","3,463","3,550","74,561,000"
11/29/2019,"3,388","3,500","3,388","3,488","53,250,602"
11/28/2019,"3,425","3,450","3,388","3,388","56,275,200"
11/27/2019,"3,413","3,488","3,400","3,450","72,928,796"
11/26/2019,"3,500","3,525","3,450","3,463","173,533,204"
11/25/2019,"3,500","3,525","3,463","3,488","47,676,200"
11/22/2019,"3,550","3,588","3,525","3,538","40,452,800"
11/21/2019,"3,500","3,600","3,475","3,588","60,944,602"
11/20/2019,"3,575","3,600","3,525","3,550","46,727,602"
11/19/2019,"3,513","3,575","3,475","3,575","67,006,204"
11/18/2019,"3,475","3,513","3,438","3,488","61,287,000"
11/15/2019,"3,463","3,513","3,463","3,475","47,017,200"
11/14/2019,"3,438","3,450","3,350","3,438","66,698,602"
11/13/2019,"3,500","3,500","3,388","3,438","75,148,398"
11/12/2019,"3,500","3,550","3,463","3,513","52,900,800"
11/11/2019,"3,538","3,550","3,488","3,525","45,212,000"
11/08/2019,"3,488","3,575","3,425","3,550","76,355,000"
11/07/2019,"3,513","3,513","3,388","3,500","78,753,602"
11/06/2019,"3,588","3,600","3,413","3,488","113,175,204"
11/05/2019,"3,475","3,600","3,463","3,600","94,253,000"
11/04/2019,"3,500","3,513","3,438","3,438","56,584,800"
11/01/2019,"3,513","3,513","3,463","3,488","24,366,800"
10/31/2019,"3,525","3,525","3,450","3,513","78,160,000"
10/30/2019,"3,538","3,538","3,488","3,513","47,667,200"
10/29/2019,"3,550","3,575","3,500","3,550","91,735,398"
10/28/2019,"3,500","3,538","3,463","3,500","46,389,602"
10/25/2019,"3,638","3,638","3,488","3,500","105,735,204"
10/24/2019,"3,563","3,625","3,538","3,613","132,797,204"
10/23/2019,"3,413","3,550","3,375","3,538","98,440,398"
10/22/2019,"3,425","3,425","3,375","3,413","62,050,200"
10/21/2019,"3,400","3,413","3,350","3,400","83,622,796"
10/18/2019,"3,338","3,438","3,325","3,388","117,544,398"
10/17/2019,"3,313","3,350","3,313","3,350","150,037,796"
10/16/2019,"3,300","3,325","3,275","3,313","118,973,796"
10/15/2019,"3,275","3,300","3,250","3,288","94,139,602"
