Date,Open,High,Low,Close,Volume
12/30/2021,"3,550","3,563","3,513","3,513","34,951,602"
12/29/2021,"3,538","3,563","3,500","3,550","20,860,200"
12/28/2021,"3,525","3,525","3,488","3,525","39,835,398"
12/27/2021,"3,525","3,550","3,488","3,500","34,096,398"
12/24/2021,"3,550","3,575","3,475","3,525","54,902,200"
12/23/2021,"3,525","3,575","3,525","3,538","44,565,000"
12/22/2021,"3,588","3,600","3,525","3,525","34,814,398"
12/21/2021,"3,575","3,625","3,550","3,575","49,859,602"
12/20/2021,"3,550","3,575","3,538","3,538","57,932,602"
12/17/2021,"3,613","3,613","3,538","3,575","83,945,204"
12/16/2021,"3,650","3,663","3,600","3,625","69,082,398"
12/15/2021,"3,575","3,663","3,563","3,638","75,677,398"
12/14/2021,"3,563","3,600","3,550","3,588","65,061,398"
12/13/2021,"3,600","3,613","3,563","3,563","50,091,200"
12/10/2021,"3,600","3,613","3,550","3,600","93,532,204"
12/09/2021,"3,625","3,675","3,563","3,675","42,688,602"
12/08/2021,"3,638","3,650","3,575","3,575","56,064,200"
12/07/2021,"3,588","3,650","3,588","3,650","64,289,398"
12/06/2021,"3,575","3,625","3,550","3,588","52,050,398"
12/03/2021,"3,600","3,613","3,550","3,575","46,109,398"
12/02/2021,"3,538","3,625","3,500","3,600","70,416,398"
12/01/2021,"3,500","3,563","3,475","3,538","93,119,796"
11/30/2021,"3,625","3,625","3,475","3,500","219,340,406"
11/29/2021,"3,550","3,638","3,463","3,588","112,673,000"
11/26/2021,"3,663","3,663","3,538","3,550","78,633,398"
11/25/2021,"3,613","3,688","3,588","3,675","97,473,398"
11/24/2021,"3,563","3,588","3,550","3,575","56,217,000"
11/23/2021,"3,613","3,638","3,550","3,575","63,127,602"
11/22/2021,"3,675","3,750","3,613","3,675","92,374,398"
11/19/2021,"3,588","3,650","3,575","3,625","101,125,796"
11/18/2021,"3,600","3,613","3,575","3,588","30,911,600"
11/17/2021,"3,613","3,625","3,575","3,613","72,789,602"
11/16/2021,"3,525","3,613","3,513","3,613","76,140,204"
11/15/2021,"3,550","3,575","3,525","3,525","40,131,000"
11/12/2021,"3,638","3,638","3,525","3,550","56,807,000"
11/11/2021,"3,563","3,613","3,513","3,613","86,362,398"
11/10/2021,"3,438","3,575","3,438","3,575","156,118,000"
11/09/2021,"3,525","3,550","3,425","3,438","120,574,204"
11/08/2021,"3,600","3,600","3,500","3,500","50,517,398"
11/05/2021,"3,625","3,625","3,500","3,550","48,035,602"
11/04/2021,"3,625","3,650","3,588","3,588","103,726,398"
11/03/2021,"3,488","3,625","3,463","3,563","107,556,602"
11/02/2021,"3,588","3,600","3,500","3,513","51,923,398"
11/01/2021,"3,625","3,625","3,575","3,588","65,621,398"
10/29/2021,"3,588","3,650","3,575","3,588","160,952,406"
10/28/2021,"3,563","3,575","3,500","3,513","99,023,602"
10/27/2021,"3,600","3,613","3,563","3,575","82,925,204"
10/26/2021,"3,550","3,600","3,550","3,588","55,872,800"
10/25/2021,"3,588","3,625","3,563","3,563","76,296,204"
10/22/2021,"3,550","3,613","3,538","3,600","65,782,602"
10/21/2021,"3,588","3,663","3,563","3,588","189,264,000"
10/19/2021,"3,625","3,625","3,525","3,600","99,358,000"
10/18/2021,"3,600","3,663","3,575","3,588","152,951,594"
10/15/2021,"3,588","3,600","3,538","3,575","84,353,000"
10/14/2021,"3,563","3,588","3,525","3,588","104,307,796"
10/13/2021,"3,538","3,550","3,475","3,550","134,998,000"
10/12/2021,"3,488","3,525","3,463","3,500","191,044,188"
10/11/2021,"3,450","3,463","3,400","3,450","123,020,204"
10/08/2021,"3,363","3,488","3,363","3,450","223,592,000"
10/07/2021,"3,325","3,413","3,313","3,350","253,196,610"
10/06/2021,"3,238","3,338","3,225","3,300","168,775,812"
10/05/2021,"3,225","3,275","3,188","3,213","94,886,204"
10/04/2021,"3,088","3,250","3,075","3,238","156,691,594"
10/01/2021,"3,075","3,100","3,025","3,050","74,975,398"
09/30/2021,"3,025","3,075","3,000","3,075","82,812,000"
09/29/2021,"2,975","3,025","2,963","3,000","56,467,398"
09/28/2021,"2,975","3,013","2,950","2,975","64,652,200"
09/27/2021,"3,000","3,013","2,950","2,950","68,500,796"
09/24/2021,"3,038","3,050","2,963","2,988","50,278,398"
09/23/2021,"3,063","3,063","3,013","3,038","40,606,000"
09/22/2021,"2,988","3,050","2,975","3,038","26,711,200"
09/21/2021,"3,013","3,013","2,963","2,988","45,153,398"
09/20/2021,"3,013","3,038","2,963","3,013","57,569,200"
09/17/2021,"3,063","3,075","3,025","3,025","82,452,796"
09/16/2021,"3,088","3,100","3,063","3,075","61,344,200"
09/15/2021,"3,088","3,100","3,050","3,063","135,497,796"
09/14/2021,"3,075","3,100","3,038","3,050","84,931,398"
09/13/2021,"3,050","3,113","3,025","3,075","104,806,602"
09/10/2021,"3,138","3,150","3,088","3,100","107,576,796"
09/09/2021,"3,150","3,175","3,063","3,175","93,331,602"
09/08/2021,"3,150","3,150","3,063","3,125","84,660,602"
09/07/2021,"3,125","3,175","3,113","3,125","70,448,398"
09/06/2021,"3,100","3,163","3,063","3,100","51,684,398"
09/03/2021,"3,050","3,075","3,000","3,063","50,760,000"
09/02/2021,"3,025","3,050","2,988","3,025","51,554,398"
09/01/2021,"3,050","3,050","3,000","3,000","70,082,000"
08/31/2021,"3,000","3,050","2,975","3,050","135,700,406"
08/30/2021,"2,925","2,975","2,913","2,975","65,062,000"
08/27/2021,"2,913","2,938","2,888","2,900","35,765,000"
08/26/2021,"2,925","2,963","2,913","2,913","55,050,200"
08/25/2021,"2,938","2,988","2,925","2,975","60,726,800"
08/24/2021,"2,975","2,988","2,900","2,913","85,217,602"
08/23/2021,"2,950","3,000","2,950","2,988","46,346,200"
08/20/2021,"2,950","2,975","2,900","2,950","62,841,602"
08/19/2021,"3,050","3,050","2,900","2,925","101,976,796"
08/18/2021,"3,000","3,088","2,963","3,025","141,229,406"
08/16/2021,"3,000","3,025","2,925","2,988","53,074,000"
08/13/2021,"2,988","3,025","2,950","3,000","41,771,602"
08/12/2021,"2,938","2,975","2,913","2,963","51,328,800"
08/10/2021,"2,900","2,938","2,888","2,900","54,893,398"
08/09/2021,"3,000","3,013","2,900","2,900","50,317,398"
08/06/2021,"3,038","3,050","2,975","2,988","63,682,000"
08/05/2021,"2,938","3,038","2,925","3,025","140,254,000"
08/04/2021,"2,913","2,950","2,888","2,913","67,410,398"
08/03/2021,"2,850","2,900","2,825","2,888","70,957,398"
08/02/2021,"2,888","2,888","2,813","2,838","68,571,000"
07/30/2021,"2,913","2,913","2,850","2,850","92,132,398"
07/29/2021,"2,950","2,950","2,875","2,875","68,168,398"
07/28/2021,"2,875","2,950","2,875","2,950","41,266,000"
07/27/2021,"2,925","2,950","2,875","2,913","79,279,398"
07/26/2021,"2,988","3,000","2,900","2,900","77,160,204"
07/23/2021,"3,000","3,025","2,975","2,988","37,457,602"
07/22/2021,"2,988","3,050","2,975","3,025","55,171,398"
07/21/2021,"2,913","2,975","2,900","2,963","87,100,204"
07/19/2021,"2,900","2,925","2,875","2,875","31,460,200"
07/16/2021,"2,938","2,950","2,913","2,938","39,567,602"
07/15/2021,"2,863","2,950","2,838","2,938","94,438,398"
07/14/2021,"2,900","2,913","2,825","2,850","59,225,200"
07/13/2021,"2,925","2,950","2,888","2,888","65,117,000"
07/12/2021,"2,938","2,938","2,888","2,900","39,692,602"
07/09/2021,"2,950","2,950","2,888","2,888","50,822,398"
07/08/2021,"2,925","2,950","2,875","2,950","81,459,000"
07/07/2021,"2,888","2,913","2,838","2,875","96,691,000"
07/06/2021,"2,950","2,950","2,875","2,888","56,066,200"
07/05/2021,"2,988","2,988","2,900","2,925","29,242,400"
07/02/2021,"2,988","3,013","2,963","2,975","80,422,398"
07/01/2021,"2,975","3,000","2,950","2,988","87,385,398"
06/30/2021,"2,925","2,975","2,900","2,950","146,560,188"
06/29/2021,"2,925","2,925","2,850","2,888","96,970,796"
06/28/2021,"2,913","2,950","2,838","2,850","127,109,000"
06/25/2021,"3,000","3,013","2,950","2,950","61,052,000"
06/24/2021,"3,050","3,050","2,988","2,988","52,248,000"
06/23/2021,"3,113","3,113","3,013","3,013","66,074,204"
06/22/2021,"3,038","3,125","3,013","3,088","96,680,602"
06/21/2021,"3,050","3,050","2,975","3,013","138,949,204"
06/18/2021,"3,088","3,100","2,975","3,100","201,335,390"
06/17/2021,"3,125","3,138","3,100","3,100","146,517,204"
06/16/2021,"3,163","3,175","3,100","3,138","90,051,602"
06/15/2021,"3,150","3,163","3,113","3,163","107,187,796"
06/14/2021,"3,150","3,150","3,113","3,138","50,043,398"
06/11/2021,"3,138","3,150","3,113","3,138","77,757,796"
06/10/2021,"3,088","3,125","3,063","3,100","43,543,602"
06/09/2021,"3,038","3,088","3,000","3,075","47,078,602"
06/08/2021,"3,075","3,075","3,000","3,000","57,084,000"
06/07/2021,"3,100","3,100","3,038","3,063","42,514,398"
06/04/2021,"3,125","3,163","3,063","3,063","76,307,796"
06/03/2021,"3,088","3,138","3,063","3,125","86,426,398"
06/02/2021,"3,075","3,100","3,038","3,050","157,335,594"
05/31/2021,"2,938","3,050","2,913","3,000","96,660,000"
05/28/2021,"2,913","2,950","2,888","2,900","78,305,796"
05/27/2021,"3,000","3,000","2,875","2,875","353,889,782"
05/25/2021,"2,888","2,975","2,888","2,950","90,594,398"
05/24/2021,"2,938","2,938","2,875","2,875","54,897,602"
05/21/2021,"2,863","2,950","2,838","2,913","140,452,984"
05/20/2021,"2,825","2,875","2,800","2,825","69,610,000"
05/19/2021,"2,900","2,925","2,813","2,838","98,436,000"
05/18/2021,"2,988","3,000","2,913","2,950","73,965,204"
05/17/2021,"2,988","3,000","2,938","2,963","95,099,796"
05/11/2021,"3,000","3,000","2,925","2,950","69,381,796"
05/10/2021,"3,013","3,013","2,975","2,988","35,481,398"
05/07/2021,"3,063","3,063","2,975","2,975","65,331,800"
05/06/2021,"3,063","3,063","3,013","3,038","37,091,000"
05/05/2021,"3,075","3,075","3,025","3,025","45,851,800"
05/04/2021,"3,025","3,050","2,988","3,050","56,355,200"
05/03/2021,"3,050","3,075","3,000","3,025","65,334,000"
04/30/2021,"3,113","3,125","3,063","3,088","69,941,602"
04/29/2021,"3,113","3,138","3,075","3,113","82,870,602"
