Date,Open,High,Low,Close,Volume
12/29/2023,"6,125","6,125","6,000","6,050","63,097,102"
12/28/2023,"6,050","6,150","6,000","6,125","75,118,703"
12/27/2023,"6,000","6,025","5,925","6,000","48,704,602"
12/22/2023,"5,950","5,975","5,925","5,975","29,975,600"
12/21/2023,"5,950","5,975","5,925","5,975","50,363,898"
12/20/2023,"5,900","5,975","5,900","5,925","65,361,000"
12/19/2023,"5,950","5,975","5,925","5,975","53,995,898"
12/18/2023,"5,850","5,950","5,850","5,925","101,458,602"
12/15/2023,"5,950","6,000","5,900","5,900","142,382,203"
12/14/2023,"5,825","6,025","5,800","5,950","189,383,109"
12/13/2023,"5,750","5,775","5,700","5,725","121,450,602"
12/12/2023,"5,800","5,825","5,750","5,800","55,110,500"
12/11/2023,"5,650","5,800","5,650","5,775","68,655,000"
12/08/2023,"5,750","5,775","5,650","5,700","98,036,703"
12/07/2023,"5,800","5,825","5,725","5,750","97,966,703"
12/06/2023,"5,925","5,950","5,800","5,800","88,747,203"
12/05/2023,"6,000","6,000","5,875","5,975","58,668,398"
12/04/2023,"5,925","6,025","5,900","6,000","66,162,000"
12/01/2023,"5,850","5,900","5,825","5,900","31,365,100"
11/30/2023,"5,850","5,925","5,825","5,850","117,365,000"
11/29/2023,"5,850","5,925","5,825","5,850","36,796,602"
11/28/2023,"5,900","5,925","5,875","5,900","58,255,801"
11/27/2023,"5,900","5,925","5,875","5,900","39,719,301"
11/24/2023,"5,925","5,925","5,850","5,875","33,275,102"
11/23/2023,"5,950","5,950","5,900","5,900","36,725,602"
11/22/2023,"5,825","5,900","5,825","5,875","21,111,100"
11/21/2023,"5,850","5,925","5,825","5,875","55,094,301"
11/20/2023,"5,825","5,925","5,825","5,875","27,060,500"
11/17/2023,"5,875","5,950","5,850","5,900","33,963,898"
11/16/2023,"5,850","5,925","5,825","5,925","54,299,398"
11/15/2023,"5,900","5,975","5,875","5,925","74,255,695"
11/14/2023,"5,825","5,900","5,800","5,825","50,587,801"
11/13/2023,"5,850","5,850","5,800","5,825","22,076,900"
11/10/2023,"5,850","5,850","5,775","5,775","59,611,500"
11/09/2023,"5,825","5,900","5,800","5,875","45,026,199"
11/08/2023,"5,775","5,850","5,725","5,850","63,549,398"
11/07/2023,"5,950","5,975","5,800","5,875","56,161,301"
11/06/2023,"5,900","5,925","5,850","5,925","58,266,102"
11/03/2023,"5,925","5,975","5,825","5,825","53,379,500"
11/02/2023,"5,750","5,925","5,725","5,900","115,678,203"
11/01/2023,"5,700","5,700","5,625","5,650","74,281,203"
10/31/2023,"5,800","5,850","5,650","5,675","99,449,398"
10/30/2023,"5,700","5,725","5,625","5,725","81,547,000"
10/27/2023,"5,750","5,775","5,700","5,700","90,177,000"
10/26/2023,"5,800","5,850","5,700","5,700","86,348,703"
10/25/2023,"5,825","5,900","5,775","5,850","90,426,492"
10/24/2023,"5,700","5,800","5,675","5,750","72,469,203"
10/23/2023,"5,700","5,725","5,625","5,675","73,897,508"
10/20/2023,"5,675","5,800","5,650","5,750","98,533,602"
10/19/2023,"5,775","5,800","5,700","5,725","160,277,797"
10/18/2023,"5,925","5,950","5,825","5,850","91,869,398"
10/17/2023,"6,000","6,025","5,925","6,000","74,702,305"
10/16/2023,"6,025","6,075","5,975","6,025","60,410,898"
10/13/2023,"6,075","6,150","6,025","6,075","39,914,699"
10/12/2023,"6,075","6,175","6,050","6,075","91,341,797"
10/11/2023,"5,950","6,175","5,950","6,050","72,955,000"
10/10/2023,"5,900","6,075","5,900","6,000","48,850,301"
10/09/2023,"6,025","6,050","5,900","5,900","45,321,699"
10/06/2023,"6,150","6,150","6,025","6,025","25,913,600"
10/05/2023,"6,150","6,200","6,100","6,125","69,566,797"
10/04/2023,"6,075","6,125","5,975","6,125","69,154,000"
10/03/2023,"6,000","6,075","6,000","6,075","37,142,102"
10/02/2023,"6,025","6,100","6,025","6,050","33,296,500"
09/29/2023,"6,050","6,050","6,000","6,025","71,558,898"
09/27/2023,"5,925","6,050","5,900","6,000","75,050,602"
09/26/2023,"5,975","6,000","5,850","5,925","109,786,398"
09/25/2023,"6,000","6,050","5,975","6,000","40,707,898"
09/22/2023,"6,000","6,050","5,975","6,000","51,069,898"
09/21/2023,"6,050","6,075","5,975","6,000","60,535,000"
09/20/2023,"6,100","6,125","6,050","6,075","64,864,898"
09/19/2023,"5,900","6,075","5,875","6,000","93,889,398"
09/18/2023,"5,900","5,950","5,875","5,900","53,450,398"
09/15/2023,"5,900","5,975","5,850","5,925","165,106,203"
09/14/2023,"5,825","5,875","5,775","5,825","59,132,602"
09/13/2023,"5,825","5,850","5,775","5,850","69,884,000"
09/12/2023,"5,950","5,950","5,850","5,875","54,076,801"
09/11/2023,"5,900","5,925","5,825","5,925","74,510,602"
09/08/2023,"5,900","5,925","5,775","5,900","81,980,398"
09/07/2023,"6,000","6,025","5,825","5,875","124,351,398"
09/06/2023,"6,050","6,125","6,050","6,050","40,547,801"
09/05/2023,"6,100","6,150","6,075","6,100","24,893,100"
09/04/2023,"6,075","6,150","6,050","6,100","56,317,699"
09/01/2023,"6,075","6,125","6,050","6,075","50,796,000"
08/31/2023,"6,000","6,075","5,900","6,025","159,062,891"
08/30/2023,"5,925","6,100","5,925","5,975","65,727,398"
08/29/2023,"6,000","6,025","5,950","5,950","50,839,301"
08/28/2023,"5,950","6,025","5,900","6,000","63,980,398"
08/25/2023,"5,900","5,925","5,825","5,900","65,093,102"
08/24/2023,"5,900","5,950","5,875","5,950","42,648,301"
08/23/2023,"5,950","5,950","5,850","5,850","40,844,699"
08/22/2023,"5,800","5,950","5,800","5,950","93,617,203"
08/21/2023,"5,800","5,875","5,800","5,825","61,845,801"
08/18/2023,"5,725","5,825","5,725","5,775","104,894,602"
08/16/2023,"5,775","5,800","5,675","5,800","190,591,500"
08/15/2023,"5,900","5,925","5,800","5,800","116,815,695"
08/14/2023,"5,925","5,950","5,800","5,950","86,460,492"
08/11/2023,"5,975","6,025","5,900","5,925","46,568,602"
08/10/2023,"5,925","6,000","5,900","5,975","78,942,492"
08/09/2023,"5,900","5,950","5,850","5,900","64,495,398"
08/08/2023,"5,900","5,950","5,875","5,900","83,475,797"
08/07/2023,"5,850","5,925","5,825","5,875","104,342,094"
08/04/2023,"5,800","5,825","5,750","5,775","47,144,199"
08/03/2023,"5,725","5,825","5,700","5,800","68,587,508"
08/02/2023,"5,625","5,750","5,600","5,700","133,546,203"
08/01/2023,"5,650","5,725","5,600","5,650","114,702,492"
07/31/2023,"5,800","5,800","5,625","5,725","189,375,703"
07/28/2023,"5,625","5,725","5,625","5,700","121,968,492"
07/27/2023,"5,575","5,700","5,575","5,625","86,556,203"
07/26/2023,"5,550","5,600","5,525","5,575","88,526,703"
07/25/2023,"5,550","5,575","5,500","5,550","65,237,301"
07/24/2023,"5,550","5,625","5,500","5,500","54,865,000"
07/21/2023,"5,550","5,575","5,450","5,550","111,275,695"
07/20/2023,"5,400","5,550","5,400","5,525","132,054,000"
07/18/2023,"5,375","5,425","5,300","5,350","84,112,898"
07/17/2023,"5,425","5,475","5,375","5,375","99,897,602"
07/14/2023,"5,400","5,425","5,350","5,400","122,343,602"
07/13/2023,"5,375","5,375","5,275","5,350","101,281,203"
07/12/2023,"5,300","5,375","5,250","5,300","123,947,695"
07/11/2023,"5,200","5,300","5,175","5,275","100,578,898"
07/10/2023,"5,175","5,225","5,150","5,175","82,685,695"
07/07/2023,"5,275","5,300","5,150","5,150","128,515,102"
07/06/2023,"5,300","5,350","5,250","5,300","90,981,000"
07/05/2023,"5,300","5,325","5,250","5,275","78,430,000"
07/04/2023,"5,400","5,400","5,225","5,250","119,841,203"
07/03/2023,"5,125","5,350","5,125","5,350","227,358,500"
06/27/2023,"5,175","5,250","5,150","5,200","101,606,000"
06/26/2023,"5,100","5,175","5,075","5,125","74,263,695"
06/23/2023,"5,075","5,125","5,050","5,075","47,276,898"
06/22/2023,"5,100","5,150","5,075","5,075","60,457,301"
06/21/2023,"5,050","5,100","5,050","5,100","58,523,898"
06/20/2023,"5,100","5,125","5,050","5,100","44,316,801"
06/19/2023,"5,100","5,150","5,100","5,125","36,211,301"
06/16/2023,"5,125","5,150","5,075","5,150","103,942,492"
06/15/2023,"5,050","5,150","5,050","5,125","94,097,906"
06/14/2023,"5,125","5,150","5,050","5,050","96,670,305"
06/13/2023,"5,100","5,175","5,050","5,100","143,804,703"
06/12/2023,"5,100","5,125","5,050","5,100","91,080,305"
06/09/2023,"5,025","5,125","5,000","5,125","151,342,797"
06/08/2023,"5,000","5,075","5,000","5,025","173,484,188"
06/07/2023,"5,000","5,075","5,000","5,025","115,944,492"
06/06/2023,"5,050","5,100","4,950","5,050","244,615,203"
06/05/2023,"5,100","5,150","5,075","5,075","149,191,297"
05/31/2023,"5,175","5,200","5,050","5,050","242,450,500"
05/30/2023,"5,100","5,200","5,100","5,150","60,296,000"
05/29/2023,"5,175","5,175","5,100","5,150","60,646,898"
05/26/2023,"5,175","5,200","5,100","5,125","42,313,699"
05/25/2023,"5,050","5,175","5,050","5,175","66,330,297"
